X, Y, Z
-0.181752, 0.536337, 28.241718
-0.611732, 0.244216, 50.661037
-0.206983, 1.066358, 50.686253
-0.198483, 1.087938, 50.736320
-0.190324, 1.107977, 50.786606
-0.180944, 1.126417, 50.821907
-0.178564, 1.148678, 50.875549
-0.171105, 1.171118, 50.907246
-0.171964, 1.187019, 50.944145
-0.173964, 1.194480, 50.982082
-0.174124, 1.203960, 51.014862
-0.166724, 1.211221, 51.045033
-0.158784, 1.215362, 51.073257
-0.163584, 1.216441, 51.104061
-0.166124, 1.223540, 51.138176
-0.164705, 1.230801, 51.159893
-0.163146, 1.235700, 51.192219
-0.163366, 1.242841, 51.212780
-0.167006, 1.257041, 51.233891
-0.167328, 1.272801, 51.258808
-0.170510, 1.281021, 51.295506
-0.167870, 1.284802, 51.327297
-0.169230, 1.291982, 51.355335
-0.167790, 1.300079, 51.384937
-0.171231, 1.307720, 51.405743
-0.164011, 1.313181, 51.427238
-0.170051, 1.318019, 51.452736
-0.172490, 1.324538, 51.481030
-0.175011, 1.333720, 51.499973
-0.179430, 1.343799, 51.524342
-0.188370, 1.355059, 51.550652
-0.191251, 1.368717, 51.580017
-0.198511, 1.376216, 51.605011
-0.203491, 1.398914, 51.612232
-0.206092, 1.407193, 51.634636
-0.208872, 1.415472, 51.667591
-0.208053, 1.424352, 51.688869
-0.212612, 1.427431, 51.708092
-0.214632, 1.431531, 51.727879
-0.222133, 1.439311, 51.745792
-0.220013, 1.446533, 51.761173
-0.221474, 1.455473, 51.787338
-0.228655, 1.467152, 51.811520
-0.230015, 1.475293, 51.828663
-0.232414, 1.477333, 51.851498
-0.241993, 1.484153, 51.875034
-0.244333, 1.496613, 51.893566
-0.250133, 1.501653, 51.915291
-0.252713, 1.504793, 51.932495
-0.265533, 1.514873, 51.958916
-0.270654, 1.514672, 51.977921
-0.274275, 1.515211, 51.996960
-0.276815, 1.522031, 52.010178
-0.286275, 1.527011, 52.022766
-0.297955, 1.527151, 52.041592
-0.304176, 1.530072, 52.062195
-0.308075, 1.539113, 52.076721
-0.304495, 1.544332, 52.095818
-0.307915, 1.546630, 52.108688
-0.308856, 1.549009, 52.126324
-0.314836, 1.558150, 52.129372
-0.325056, 1.556171, 52.144890
-0.330677, 1.560571, 52.160847
-0.338936, 1.563112, 52.175037
-0.340456, 1.563151, 52.186062
-0.349777, 1.561810, 52.199718
-0.358196, 1.566430, 52.210243
-0.372396, 1.562031, 52.224277
-0.378836, 1.560350, 52.237370
-0.388236, 1.563049, 52.256512
-0.397736, 1.565729, 52.267990
-0.402236, 1.569550, 52.281105
-0.408377, 1.571430, 52.300442
-0.411359, 1.582270, 52.312744
-0.422218, 1.590509, 52.315224
-0.427157, 1.592768, 52.324604
-0.434257, 1.591969, 52.336483
-0.432816, 1.600988, 52.345039
-0.443758, 1.606928, 52.356384
-0.453238, 1.608429, 52.372097
-0.461060, 1.617428, 52.383522
-0.463301, 1.621029, 52.392071
-0.476781, 1.629268, 52.407650
-0.491041, 1.633828, 52.412010
-0.491102, 1.628988, 52.414360
-0.500463, 1.629548, 52.432255
-0.512804, 1.636048, 52.451931
-0.518284, 1.638128, 52.464092
-0.522383, 1.642808, 52.466873
-0.532204, 1.640990, 52.471245
-0.545805, 1.637511, 52.484261
-0.554445, 1.640751, 52.506989
-0.558766, 1.647652, 52.520363
-0.567585, 1.656733, 52.529022
-0.572945, 1.666754, 52.535843
-0.577865, 1.678113, 52.538311
-0.582304, 1.688333, 52.552155
-0.587763, 1.698453, 52.566544
-0.594623, 1.703254, 52.573727
-0.599143, 1.712054, 52.584248
-0.607804, 1.726954, 52.600677
-0.612623, 1.739654, 52.614510
-0.624444, 1.746535, 52.630707
-0.637984, 1.749555, 52.643990
-0.638204, 1.744694, 52.654228
-0.645183, 1.752373, 52.667782
-0.654243, 1.757673, 52.683601
-0.662362, 1.758494, 52.692600
-0.665003, 1.764413, 52.707508
-0.672003, 1.770934, 52.713665
-0.676543, 1.773535, 52.722401
-0.680864, 1.776775, 52.734879
-0.683804, 1.777856, 52.743420
-0.694804, 1.781095, 52.748470
-0.704084, 1.783857, 52.758171
-0.713763, 1.785216, 52.765778
-0.727243, 1.788759, 52.775959
-0.742563, 1.797178, 52.784946
-0.755604, 1.798039, 52.792225
-0.766565, 1.796478, 52.808289
-0.777945, 1.799779, 52.808628
-0.793726, 1.802099, 52.814590
-0.805347, 1.803319, 52.820702
-0.812707, 1.802920, 52.824364
-0.819387, 1.802502, 52.832989
-0.833527, 1.797642, 52.840019
-0.845707, 1.799461, 52.842125
-0.847807, 1.801939, 52.846706
-0.854947, 1.802317, 52.854206
-0.867428, 1.807098, 52.854443
-0.880208, 1.813398, 52.868286
-0.883049, 1.819298, 52.878365
-0.886149, 1.826798, 52.883770
-0.896808, 1.826357, 52.901413
-0.906848, 1.828858, 52.901226
-0.917228, 1.836579, 52.912552
