Expected Z, Real Z
0, 0.000000
0, -0.015860
0, -0.029981
0, -0.050862
0, -0.062922
0, -0.076243
0, -0.090243
0, -0.110304
0, -0.119345
0, -0.134405
0, -0.151983
0, -0.162444
0, -0.162825
0, -0.178084
0, -0.189284
0, -0.210106
0, -0.228326
0, -0.241105
0, -0.266104
0, -0.286004
0, -0.292944
0, -0.307625
0, -0.321425
0, -0.330666
0, -0.345665
0, -0.365026
0, -0.379146
0, -0.391386
0, -0.414926
0, -0.434267
0, -0.452047
20, 17.959080
20, 19.391802
20, 19.402355
20, 19.411312
20, 19.417543
20, 19.420027
20, 19.424011
20, 19.430513
20, 19.442385
20, 19.455643
20, 19.465780
20, 19.472111
20, 19.477919
20, 19.490919
20, 19.502703
20, 19.515808
20, 19.531689
20, 19.543024
20, 19.552801
20, 19.557196
20, 19.555273
20, 19.554876
20, 19.558353
20, 19.561514
20, 19.573154
20, 19.579351
20, 19.586315
20, 19.587711
20, 19.589600
20, 19.591795
20, 19.597498
20, 19.607887
20, 19.615360
20, 19.618801
20, 19.622274
20, 19.626007
20, 19.633003
20, 19.638269
20, 19.642420
20, 19.644053
20, 19.652948
20, 19.658897
20, 19.662859
20, 19.662241
20, 19.676340
20, 19.682194
20, 19.688585
20, 19.694559
20, 19.697197
20, 19.703812
20, 19.713495
20, 19.725336
20, 19.728294
20, 19.733669
20, 19.742268
20, 19.749174
20, 19.756819
20, 19.765549
20, 19.771736
20, 19.772133
20, 19.775253
20, 19.779001
20, 19.792032
20, 19.791775
20, 19.796509
20, 19.795134
20, 19.795729
20, 19.796503
20, 19.805433
20, 19.819990
20, 19.824829
20, 19.821529
20, 19.827604
20, 19.830923
20, 19.827785
20, 19.832209
20, 19.828110
20, 19.819412
20, 19.829536
20, 19.840067
20, 19.847055
20, 19.849615
20, 19.855665
20, 19.857725
20, 19.854752
20, 19.854885
20, 19.856705
20, 19.862341
20, 19.864843
20, 19.870445
20, 19.875956
20, 19.876493
10, 12.347048
10, 7.769575
10, 7.745534
10, 7.730796
10, 7.709898
10, 7.699195
10, 7.677975
10, 7.652435
10, 7.624971
10, 7.610912
10, 7.601833
10, 7.583513
10, 7.571113
10, 7.552454
10, 7.542034
10, 7.525894
10, 7.511573
10, 7.496173
10, 7.482510
10, 7.467088
10, 7.455188
10, 7.444168
10, 7.423547
10, 7.421064
10, 7.405365
10, 7.393786
10, 7.379586
10, 7.358908
10, 7.338987
10, 7.319327
10, 7.311666
10, 7.299187
10, 7.286289
10, 7.273067
10, 7.261868
10, 7.253968
10, 7.237986
10, 7.224887
10, 7.203803
10, 7.195602
10, 7.188622
10, 7.175681
10, 7.160322
10, 7.148242
10, 7.140560
10, 7.130580
10, 7.123841
10, 7.107244
10, 7.090241
10, 7.067405
10, 7.059123
10, 7.040304
10, 7.028324
10, 7.022121
10, 7.010600
10, 6.996678
10, 6.985558
10, 6.966678
10, 6.954101
10, 6.943820
10, 6.933162
10, 6.922402
10, 6.906760
10, 6.892782
10, 6.890580
10, 6.877357
10, 6.860036
10, 6.847194
10, 6.840433
10, 6.823172
10, 6.792652
10, 6.781631
10, 6.766872
10, 6.757533
10, 6.739813
10, 6.724490
10, 6.709568
10, 6.692347
10, 6.676288
10, 6.666470
10, 6.656271
10, 6.642392
10, 6.628892
10, 6.620012
10, 6.614511
10, 6.595630
10, 6.583433
10, 6.568591
10, 6.565069
10, 6.547492
10, 6.541050
10, 6.531551
10, 6.518172
10, 6.506812
10, 6.489153
10, 6.471371
10, 6.447711
10, 6.432372
70, 44.482983
70, 61.858627
70, 67.499489
70, 67.703835
70, 67.744698
70, 67.775703
70, 67.808525
70, 67.836334
70, 67.862457
70, 67.882172
70, 67.907585
70, 67.929886
70, 67.943962
70, 67.967186
70, 67.983528
70, 67.993614
70, 68.007820
70, 68.021187
70, 68.041649
70, 68.056107
70, 68.069435
70, 68.070488
70, 68.077393
70, 68.084274
70, 68.094917
70, 68.108299
70, 68.116753
70, 68.120514
70, 68.127121
70, 68.133781
70, 68.144669
70, 68.143234
70, 68.149055
70, 68.158623
70, 68.165459
70, 68.177620
70, 68.182068
70, 68.189819
70, 68.197075
70, 68.204483
70, 68.219154
70, 68.219246
70, 68.223167
70, 68.226143
70, 68.234154
70, 68.245750
70, 68.249161
70, 68.261177
70, 68.260712
70, 68.269463
70, 68.272102
70, 68.277046
70, 68.278801
70, 68.283897
70, 68.289192
70, 68.294052
70, 68.293480
70, 68.307770
70, 68.313789
70, 68.315750
70, 68.315369
70, 68.319389
70, 68.310013
70, 68.303528
70, 68.302132
70, 68.302040
70, 68.301270
70, 68.306961
70, 68.308601
70, 68.306160
70, 68.312134
70, 68.318726
70, 68.320084
70, 68.319115
70, 68.314156
70, 68.307701
70, 68.301636
70, 68.295403
70, 68.295212
70, 68.300514
70, 68.298454
70, 68.297966
70, 68.298851
70, 68.297325
70, 68.295517
70, 68.292343
70, 68.286377
70, 68.282814
70, 68.278572
70, 68.282806
70, 68.273323
70, 68.276894
70, 68.275787
70, 68.276146
70, 68.274361
70, 68.273941
70, 68.265953
70, 68.265259
70, 68.269714
70, 68.268074
70, 68.268402
70, 68.268890
70, 68.277267
70, 68.274979
70, 68.272095
70, 68.264671
70, 68.259003
70, 68.252541
70, 68.250664
70, 68.238213
70, 68.233582
70, 68.229004
70, 68.225136
70, 68.223816
70, 68.216904
70, 68.211906
70, 68.209198
70, 68.195068
70, 68.188026
70, 68.180824
70, 68.175880
70, 68.173470
70, 68.159386
70, 68.157021
70, 68.156731
70, 68.149330
70, 68.137451
70, 68.134720
70, 68.118942
70, 68.116173
70, 68.108643
70, 68.101250
70, 68.091446
70, 68.081482
70, 68.071350
70, 68.065865
70, 68.059296
70, 68.053207
70, 68.047798
70, 68.044090
70, 68.027115
70, 68.019257
70, 67.999779
70, 67.994545
70, 67.996384
70, 67.994423
70, 67.991333
70, 67.978790
70, 67.974503
70, 67.972656
70, 67.961411
70, 67.953247
70, 67.941071
70, 67.930466
70, 67.921066
70, 67.914520
70, 67.907059
70, 67.898788
70, 67.886719
70, 67.884033
70, 67.868576
70, 67.863045
70, 67.852730
70, 67.843964
70, 67.835152
70, 67.829430
70, 67.822182
70, 67.809357
70, 67.798958
70, 67.788200
70, 67.776138
70, 67.771935
70, 67.770073
70, 67.765808
70, 67.761024
70, 67.749901
70, 67.744995
70, 67.740448
70, 67.737137
70, 67.725525
70, 67.713776
70, 67.706711
70, 67.698128
70, 67.690971
70, 67.683479
70, 67.682899
70, 67.676613
70, 67.669617
70, 67.666679
70, 67.657051
70, 67.642746
70, 67.624374
70, 67.615860
70, 67.613182
70, 67.600891
70, 67.593887
70, 67.587769
70, 67.582489
70, 67.569710
70, 67.563217
70, 67.562805
70, 67.562332
70, 67.555328
70, 67.542557
70, 67.535240
70, 67.525589
70, 67.517464
70, 67.506653
70, 67.499519
70, 67.501030
70, 67.492996
70, 67.487892
70, 67.485954
70, 67.477295
70, 67.469673
70, 67.454285
70, 67.439095
70, 67.428879
70, 67.419861
70, 67.411255
70, 67.398788
70, 67.389587
70, 67.386658
70, 67.377892
70, 67.367249
70, 67.356293
70, 67.356453
70, 67.348740
70, 67.333916
70, 67.321373
70, 67.304451
70, 67.293404
