X, Y, Z
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
-0.000917, 0.010313, 0.002063
-0.004584, 0.016043, 0.004926
-0.005730, 0.015814, 0.006874
-0.007563, 0.025209, 0.009166
-0.009167, 0.026584, 0.017416
-0.010313, 0.032084, 0.022916
-0.010313, 0.040220, 0.028531
-0.011230, 0.049044, 0.030938
-0.011459, 0.055232, 0.032083
-0.013751, 0.064858, 0.033917
-0.012605, 0.069785, 0.040105
-0.013751, 0.073339, 0.040105
-0.016616, 0.076318, 0.049731
-0.017189, 0.084340, 0.051220
-0.017189, 0.092706, 0.053168
-0.019709, 0.100727, 0.055002
-0.026584, 0.115394, 0.056148
-0.028188, 0.121354, 0.052481
-0.029793, 0.119176, 0.052710
-0.032543, 0.129948, 0.055002
-0.035522, 0.140949, 0.052710
-0.036783, 0.148856, 0.049272
-0.045836, 0.160316, 0.049387
-0.053857, 0.181056, 0.049272
-0.057295, 0.199506, 0.057294
-0.064169, 0.211996, 0.059356
-0.066461, 0.221737, 0.055116
-0.074483, 0.243967, 0.055001
-0.076545, 0.258405, 0.055001
-0.080211, 0.271239, 0.053855
-0.086972, 0.290377, 0.052709
-0.549120, 0.147481, 17.502150
-0.516470, 0.308613, 20.025726
-0.517387, 0.325803, 20.044292
-0.521399, 0.337492, 20.070911
-0.527129, 0.344138, 20.090630
-0.531712, 0.358118, 20.104162
-0.538932, 0.369348, 20.123426
-0.543173, 0.381037, 20.138792
-0.549247, 0.396965, 20.151388
-0.554519, 0.403040, 20.175467
-0.567239, 0.419427, 20.191050
-0.570678, 0.424927, 20.209848
-0.574460, 0.435011, 20.224289
-0.582138, 0.441428, 20.239176
-0.587066, 0.459304, 20.249027
-0.595432, 0.470190, 20.262993
-0.600932, 0.481303, 20.277666
-0.607350, 0.497688, 20.289110
-0.613080, 0.512928, 20.299429
-0.616518, 0.525189, 20.305721
-0.621102, 0.533554, 20.319693
-0.623279, 0.547992, 20.330906
-0.633822, 0.560942, 20.340300
-0.638865, 0.571828, 20.353708
-0.648376, 0.577784, 20.364923
-0.653189, 0.597150, 20.375114
-0.659378, 0.606775, 20.384966
-0.665108, 0.618005, 20.400543
-0.670266, 0.629692, 20.414276
-0.674965, 0.638629, 20.427681
-0.681840, 0.647566, 20.442232
-0.688373, 0.658566, 20.453232
-0.696737, 0.675411, 20.467777
-0.707166, 0.688817, 20.477741
-0.719543, 0.703026, 20.485180
-0.719659, 0.717579, 20.495949
-0.725502, 0.732245, 20.505116
-0.734555, 0.752758, 20.517487
-0.741431, 0.762497, 20.523323
-0.747390, 0.774988, 20.535343
-0.757476, 0.783809, 20.543125
-0.759769, 0.796758, 20.547131
-0.763207, 0.807873, 20.554911
-0.766645, 0.824373, 20.561663
-0.768938, 0.837779, 20.574833
-0.774896, 0.849010, 20.581818
-0.783834, 0.862072, 20.591429
