X, Y, Z
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
-0.383882, -0.199389, 15.146713
-0.448043, -0.190224, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
-0.283057, 0.123666, 19.940248
