X, Y, Z
0.000000, 0.000000, 0.000000
0.001460, 0.013779, -0.015860
0.007300, 0.034419, -0.029981
0.012820, 0.050521, -0.050862
0.020620, 0.064521, -0.062922
0.022921, 0.073861, -0.076243
0.028440, 0.090000, -0.090243
0.028500, 0.093880, -0.110304
0.038700, 0.100781, -0.119345
0.047561, 0.117220, -0.134405
0.054661, 0.132380, -0.151983
0.058921, 0.145600, -0.162444
0.060041, 0.159320, -0.162825
0.066961, 0.164201, -0.178084
0.073742, 0.185521, -0.189284
0.076421, 0.195562, -0.210106
0.083542, 0.211641, -0.228326
0.089982, 0.233081, -0.241105
0.101121, 0.248961, -0.266104
0.104841, 0.264982, -0.286004
0.106060, 0.276443, -0.292944
0.107800, 0.284803, -0.307625
0.112639, 0.302724, -0.321425
0.121020, 0.316385, -0.330666
0.121640, 0.329725, -0.345665
0.120860, 0.339886, -0.365026
0.115321, 0.338366, -0.379146
0.116641, 0.344146, -0.391386
0.113161, 0.352665, -0.414926
0.116683, 0.366587, -0.434267
0.118823, 0.377348, -0.452047
-0.396397, 0.412804, 17.959080
-0.350338, 0.504139, 19.391802
-0.328716, 0.525360, 19.402355
-0.317137, 0.540120, 19.411312
-0.302255, 0.562040, 19.417543
-0.288856, 0.591560, 19.420027
-0.278776, 0.608501, 19.424011
-0.265177, 0.624721, 19.430513
-0.258277, 0.647662, 19.442385
-0.252798, 0.673201, 19.455643
-0.250998, 0.693722, 19.465780
-0.247378, 0.711962, 19.472111
-0.239560, 0.731141, 19.477919
-0.234040, 0.748181, 19.490919
-0.232459, 0.764761, 19.502703
-0.231779, 0.781279, 19.515808
-0.222062, 0.791540, 19.531689
-0.216942, 0.801361, 19.543024
-0.209943, 0.811020, 19.552801
-0.204562, 0.821020, 19.557196
-0.199442, 0.835999, 19.555273
-0.189703, 0.855537, 19.554876
-0.183041, 0.875678, 19.558353
-0.173640, 0.895279, 19.561514
-0.167518, 0.914619, 19.573154
-0.166257, 0.931619, 19.579351
-0.166537, 0.951600, 19.586315
-0.157338, 0.972359, 19.587711
-0.144717, 0.982539, 19.589600
-0.142538, 0.997939, 19.591795
-0.140858, 1.013079, 19.597498
-0.133118, 1.023458, 19.607887
-0.128737, 1.035779, 19.615360
-0.126177, 1.060159, 19.618801
-0.125198, 1.078399, 19.622274
-0.129198, 1.096380, 19.626007
-0.125497, 1.117179, 19.633003
-0.126937, 1.142640, 19.638269
-0.128016, 1.167842, 19.642420
-0.126975, 1.187261, 19.644053
-0.132615, 1.204883, 19.652948
-0.132655, 1.229203, 19.658897
-0.137016, 1.260723, 19.662859
-0.139494, 1.289282, 19.662241
-0.138714, 1.317722, 19.676340
-0.140654, 1.339581, 19.682194
-0.138954, 1.356042, 19.688585
-0.136693, 1.386339, 19.694559
-0.135373, 1.406761, 19.697197
-0.131613, 1.431062, 19.703812
-0.128493, 1.451542, 19.713495
-0.120413, 1.486002, 19.725336
-0.116974, 1.510102, 19.728294
-0.110893, 1.537960, 19.733669
-0.108773, 1.553822, 19.742268
